0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,label
0.11224767,-0.010205625,-0.031309146,0.07044244,0.017133005,-0.106324926,0.016264632,0.042351626,-0.05394295,0.0114218425,-0.036920097,0.06846394,0.029812202,0.06332475,-0.13569489,-0.05040109,0.03797201,0.14897552,-0.01105305,0.043999597,0.09286943,0.027083293,0.031735256,0.06709805,-0.036007307,0.05533641,0.00644964,-0.046692923,0.20468372,0.11712067,-0.14797747,0.04022337,1.0
0.099542886,0.017962461,-0.06107408,0.056477387,0.011912994,-0.1620382,0.03774506,0.060589746,-0.087151505,0.05962257,0.0036008512,0.024024297,0.085439,0.16371879,-0.17399594,-0.07090966,0.039951496,0.20369168,-0.058458887,0.07956126,0.07735835,0.03432444,0.07031149,0.07070609,-0.049503587,0.02501619,0.009221149,-0.03320689,0.2407459,0.054189123,-0.17006212,-0.021560956,1.0
0.10298178,0.015598858,-0.057075053,0.06211992,0.011709956,-0.1564264,0.035190098,0.055154692,-0.08313936,0.05172742,-0.0056812614,0.029944774,0.073562756,0.1463236,-0.17058724,-0.0699607,0.041401315,0.19778883,-0.05382745,0.0779439,0.08129348,0.0294193,0.06507638,0.06996228,-0.049465366,0.032591555,0.01141307,-0.028535224,0.23704815,0.06352635,-0.16912195,-0.016111841,1.0
0.10046179,0.025595441,-0.063619256,0.057966348,0.005841585,-0.16621688,0.040268905,0.06259447,-0.09284501,0.06346671,0.0046349405,0.020193357,0.08810033,0.17830938,-0.18175562,-0.0726862,0.042075574,0.20880844,-0.061365623,0.083453245,0.0772879,0.03608142,0.07471174,0.06792627,-0.05248091,0.023624353,0.010462775,-0.031303704,0.25124884,0.052209564,-0.17198138,-0.030641675,1.0
0.11060108,-0.0072627375,-0.034001544,0.06851987,0.016376685,-0.11191108,0.018510822,0.04450447,-0.057385586,0.016506905,-0.032570463,0.06390816,0.0357121,0.07391073,-0.13946116,-0.052752435,0.037806295,0.15453646,-0.016136767,0.0477641,0.09111917,0.028122954,0.03590082,0.067669585,-0.036982577,0.052170806,0.0065044034,-0.04544034,0.20806459,0.11072163,-0.15025753,0.034124587,1.0
0.1022204,0.021380559,-0.06745109,0.060918786,0.0140845105,-0.16510433,0.039814696,0.060292244,-0.08849266,0.056255326,0.004074721,0.024168149,0.08042906,0.16333252,-0.17642696,-0.06950265,0.049746245,0.2046993,-0.056239076,0.080684975,0.083479196,0.031264022,0.070965946,0.06297463,-0.058718763,0.025239885,0.019884774,-0.03170186,0.25095606,0.052753087,-0.17412856,-0.024886921,1.0
0.09993311,0.020590467,-0.065425046,0.057431087,0.013128972,-0.16520116,0.039313667,0.062101863,-0.08840395,0.058656264,0.006097229,0.023587337,0.08421394,0.16503733,-0.1755993,-0.070773214,0.044912994,0.20490713,-0.058512155,0.081459574,0.07949343,0.033630863,0.072017774,0.067082666,-0.054252937,0.023378542,0.013668653,-0.032332446,0.24509586,0.05055307,-0.17246237,-0.023595754,1.0
0.09960088,0.021305844,-0.06709348,0.055261623,0.01426501,-0.16535625,0.039882638,0.06451638,-0.09003726,0.06085965,0.009742556,0.02220609,0.08614246,0.17246334,-0.17618589,-0.06924329,0.04658062,0.20599529,-0.056662083,0.079830125,0.07982628,0.03592501,0.07420762,0.065174595,-0.05547411,0.021291832,0.016105741,-0.036459833,0.2490799,0.048832297,-0.17297243,-0.024241595,1.0
0.100016795,0.01828767,-0.06708375,0.05607546,0.017492492,-0.16705427,0.03979823,0.061968222,-0.087465435,0.05824624,0.009056644,0.023494348,0.082045406,0.1631852,-0.17368883,-0.06971389,0.048121348,0.20505854,-0.056471765,0.08082844,0.08159794,0.03171702,0.071456075,0.06560211,-0.057416834,0.02358567,0.020012237,-0.03345628,0.24521402,0.048757054,-0.17483895,-0.020659197,1.0
0.10077721,0.015700376,-0.061035097,0.057438083,0.0146827735,-0.1578582,0.035793442,0.059518404,-0.08452954,0.054563183,0.0014812269,0.02807462,0.07859858,0.15384272,-0.1701753,-0.06864794,0.04313615,0.19907609,-0.052755795,0.07673298,0.08091566,0.032232903,0.06749198,0.068343356,-0.05112973,0.027111659,0.012825603,-0.035398774,0.23932163,0.058033295,-0.17001069,-0.015645633,1.0
